rank,moki_name,moki_id,score,class,rarity,stat_strength,stat_speed,stat_defense,stat_dexterity,stat_fortitude,image_url,thumbnail_url,category,page,date_scraped
59,Shine,857,15890,Sprinter,Legendary,5.00,469.27,333.23,232.00,22.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_ccc6992a86fcf6cd3ece8bcf400bd50694f66125ba3655512ed5780bf11bd560_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_ccc6992a86fcf6cd3ece8bcf400bd50694f66125ba3655512ed5780bf11bd560_64x64.png,Champion,1,2026-02-27 07:44 UTC
60,Uni,5890,15880,Defender,Legendary,214.00,231.84,436.71,29.00,13.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_a5236f40033aa83450cfb124ef44cca3dfd07d1b08872862dacea18bffbf6c64_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_a5236f40033aa83450cfb124ef44cca3dfd07d1b08872862dacea18bffbf6c64_64x64.png,Champion,1,2026-02-27 07:44 UTC
61,Krampy,7215,15875,Defender,Legendary,241.00,308.99,526.52,22.00,38.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_eec649dd217bafce632f71d5985f726357983cfcfea44646bb399d0c35e73299_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_eec649dd217bafce632f71d5985f726357983cfcfea44646bb399d0c35e73299_64x64.png,Champion,1,2026-02-27 07:44 UTC
62,Long Dinger,3432,15870,Sprinter,Legendary,29.95,522.70,330.28,227.00,4.67,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_8624efbb95ac650514e754d5a02c094fec8f6a7af0f562178b4c9cfa572cecea_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_8624efbb95ac650514e754d5a02c094fec8f6a7af0f562178b4c9cfa572cecea_64x64.png,Champion,1,2026-02-27 07:44 UTC
63,Kintama,7360,15850,Striker,Legendary,40.00,345.52,74.00,554.02,277.32,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_Kintama_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_Kintama_64x64.png,Champion,1,2026-02-27 07:44 UTC
64,Bloodmoon,539,15830,Defender,Legendary,224.00,320.39,527.38,21.00,18.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_bbf5912ceb529d74ad5297fd8eeff2fdf02940e5cb8083de0b10f1aacf5ac408_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_bbf5912ceb529d74ad5297fd8eeff2fdf02940e5cb8083de0b10f1aacf5ac408_64x64.png,Champion,1,2026-02-27 07:44 UTC
65,Chef Maki,7008,15770,Defender,Legendary,268.00,383.49,500.77,51.00,47.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_5a03dfce261a3a235a92ba93f7e6e58d766f7eca0c1f65094b007161eacb5ebe_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_5a03dfce261a3a235a92ba93f7e6e58d766f7eca0c1f65094b007161eacb5ebe_64x64.png,Champion,1,2026-02-27 07:44 UTC
66,Fuoco Fatuo,6882,15765,Defender,Legendary,256.47,398.26,600.00,39.00,56.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_f620392b8cb98feb002531ac076c78a226fe858f3bc430d45bfc85e8f52e7734_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_f620392b8cb98feb002531ac076c78a226fe858f3bc430d45bfc85e8f52e7734_64x64.png,Champion,1,2026-02-27 07:44 UTC
67,Dango,6300,15750,Striker,Legendary,22.00,228.67,33.96,550.14,242.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_9f638a289702bde28f962c34282538aad267b2d6a1151352b37b3c0a53784f41_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_9f638a289702bde28f962c34282538aad267b2d6a1151352b37b3c0a53784f41_64x64.png,Champion,1,2026-02-27 07:44 UTC
68,POOtaTurd,818,15705,Sprinter,Legendary,49.00,580.89,400.33,279.87,65.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_b3501f0b213ca439a1ffa1ecf0b4d7934501f502efdf2062a027fb9a750c564c_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_b3501f0b213ca439a1ffa1ecf0b4d7934501f502efdf2062a027fb9a750c564c_64x64.png,Champion,1,2026-02-27 07:44 UTC
69,Hoppi,7370,15700,Striker,Legendary,45.00,358.78,46.00,600.24,300.18,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_d0cdd9e1716c785d94d7af8e6f7c004338f9ed1e4bd1bb61914e9af6e62aea30_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_d0cdd9e1716c785d94d7af8e6f7c004338f9ed1e4bd1bb61914e9af6e62aea30_64x64.png,Champion,1,2026-02-27 07:44 UTC
70,MahoShojo,4193,15700,Striker,Legendary,68.00,338.52,38.00,578.55,324.93,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_MahoShojo_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_MahoShojo_64x64.png,Champion,1,2026-02-27 07:44 UTC
71,MOKIPACK,2288,15690,Striker,Legendary,59.00,370.88,66.00,563.34,346.16,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_MOKIPACK_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_MOKIPACK_64x64.png,Champion,1,2026-02-27 07:44 UTC
72,Red Whine,5193,15675,Sprinter,Legendary,44.00,573.14,399.56,267.27,41.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_9a1bf547f3eabc0245bb91505ea822711ae130e66a7a48ade7629cbf3cfaec4c_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_9a1bf547f3eabc0245bb91505ea822711ae130e66a7a48ade7629cbf3cfaec4c_64x64.png,Champion,1,2026-02-27 07:44 UTC
73,Mokiwitch,962,15645,Defender,Legendary,297.00,298.61,576.07,67.04,99.36,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_Mokiwitch_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_Mokiwitch_64x64.png,Champion,1,2026-02-27 07:44 UTC
